0xff1b (Escape)
0x1008ff8a (XF86Xfer)
0x1008ff41 (XF86Launch1)
0x1008ff42 (XF86Launch2)
0x1008ff2e (XF86WWW)
0x1008ff5a (XF86DOS)
0x1008ff2d (XF86ScreenSaver)
0x1008ff74 (XF86RotateWindows)
0x1008ff7f (XF86TaskPane)
0x1008ff19 (XF86Mail)
0x1008ff30 (XF86Favorites)
0x1008ff33 (XF86MyComputer)
0x1008ff26 (XF86Back)
0x1008ff27 (XF86Forward)
0x1008ff2c (XF86Eject)
0x1008ff2c (XF86Eject)
0x1008ff17 (XF86AudioNext)
0x1008ff14 (XF86AudioPlay)
0x1008ff16 (XF86AudioPrev)
0x1008ff15 (XF86AudioStop)
0x1008ff1c (XF86AudioRecord)
0x1008ff3e (XF86AudioRewind)
0x1008ff6e (XF86Phone)
0x1008ff81 (XF86Tools)
0x1008ff18 (XF86HomePage)
0x1008ff73 (XF86Reload)
0x1008ff56 (XF86Close)
0x1008ff78 (XF86ScrollUp)
0x1008ff79 (XF86ScrollDown)
0x0028 (parenleft)
0x0029 (parenright)
0x1008ff68 (XF86New)
0xff66 (Redo)
0x1008ff81 (XF86Tools)
0x1008ff45 (XF86Launch5)
0x1008ff46 (XF86Launch6)
0x1008ff47 (XF86Launch7)
0x1008ff48 (XF86Launch8)
0x1008ff49 (XF86Launch9)
0x1008ffb2 (XF86AudioMicMute)
0x1008ffa9 (XF86TouchpadToggle)
0x1008ffb0 (XF86TouchpadOn)
0x1008ffb1 (XF86TouchpadOff)
0xff7e (Mode_switch)
0x0000 (NoSymbol)
0x0000 (NoSymbol)
0x0000 (NoSymbol)
0x0000 (NoSymbol)
0x1008ff14 (XF86AudioPlay)
0x1008ff31 (XF86AudioPause)
0x1008ff43 (XF86Launch3)
0x1008ff44 (XF86Launch4)
0x1008ff4b (XF86LaunchB)
0x1008ffa7 (XF86Suspend)
0x1008ff56 (XF86Close)
0x1008ff14 (XF86AudioPlay)
0x1008ff97 (XF86AudioForward)
0xff61 (Print)
0x1008ff8f (XF86WebCam)
0x1008ffb6 (XF86AudioPreset)
0x1008ff19 (XF86Mail)
0x1008ff8e (XF86Messenger)
0x1008ff1b (XF86Search)
0x1008ff5f (XF86Go)
0x1008ff3c (XF86Finance)
0x1008ff5e (XF86Game)
0x1008ff36 (XF86Shop)
0xff69 (Cancel)
0x1008ff03 (XF86MonBrightnessDown)
0x1008ff02 (XF86MonBrightnessUp)
0x1008ff32 (XF86AudioMedia)
0x1008ff59 (XF86Display)
0x1008ff04 (XF86KbdLightOnOff)
0x1008ff06 (XF86KbdBrightnessDown)
0x1008ff05 (XF86KbdBrightnessUp)
0x1008ff7b (XF86Send)
0x1008ff72 (XF86Reply)
0x1008ff90 (XF86MailForward)
0x1008ff77 (XF86Save)
0x1008ff5b (XF86Documents)
0x1008ff93 (XF86Battery)
0x1008ff94 (XF86Bluetooth)
0x1008ff95 (XF86WLAN)
0x1008ff07 (XF86MonBrightnessCycle)
0x1008ffb4 (XF86WWAN)
0x1008ffb5 (XF86RFKill)
